date_checked,airline,flight_number,departure,arrival,price_eur
2026-04-01 23:18,Air Europa,UX 1518,2026-05-15 19:00,2026-05-15 21:50,209
2026-04-01 23:18,Iberia,IB 1314,2026-05-15 19:45,2026-05-15 22:35,233
2026-04-01 23:18,Lufthansa City Airlines,VL 1806,2026-05-15 19:45,2026-05-15 22:30,258
2026-04-02 08:24,Air Europa,UX 1518,2026-05-15 19:00,2026-05-15 21:50,209
2026-04-02 08:24,Iberia,IB 1314,2026-05-15 19:45,2026-05-15 22:35,246
2026-04-02 08:24,Lufthansa City Airlines,VL 1806,2026-05-15 19:45,2026-05-15 22:30,258
2026-04-02 11:06,Air Europa,UX 1518,2026-05-15 19:00,2026-05-15 21:50,209
2026-04-02 11:06,Iberia,IB 1314,2026-05-15 19:45,2026-05-15 22:35,246
2026-04-02 11:06,Lufthansa City Airlines,VL 1806,2026-05-15 19:45,2026-05-15 22:30,258
2026-04-02 11:07,Air Europa,UX 1518,2026-05-15 19:00,2026-05-15 21:50,209
2026-04-02 11:07,Iberia,IB 1314,2026-05-15 19:45,2026-05-15 22:35,246
2026-04-02 11:07,Lufthansa City Airlines,VL 1806,2026-05-15 19:45,2026-05-15 22:30,258
